date, Unemployment Rate(%),Labour Force,Job seekers
31-12-2001,7.957,399564197,31793323.16
31-12-2002,8.102,405389781,32844680.06
31-12-2003,8.36,411069163,34365382.03
31-12-2004,8.531,416629768,35542685.51
31-12-2005,8.7,421959547,36710480.59
31-12-2006,8.625,431250073,37195318.8
31-12-2007,8.536,440568412,37606919.65
31-12-2008,8.354,449860965,37581385.02
31-12-2009,8.384,459168942,38496724.1
31-12-2010,8.319,468646281,38986684.12
31-12-2011,8.168,472419461,38587221.57
31-12-2012,8.095,476025371,38534253.78
31-12-2013,8.037,476574166,38302265.72
31-12-2014,7.981,476778623,38051701.9
31-12-2015,7.915,476681505,37729341.12
31-12-2016,7.842,476439285,37362368.73
31-12-2017,7.733,475894660,36800934.06
31-12-2018,7.65,474730667,36316896.03
31-12-2019,6.51,501044031,32617966.42
31-12-2020,10.195,496925540,50661558.8
31-12-2021,7.713,507704858,39159275.7
31-12-2022,7.33,523839158,38397410.28
